;Unit;Group;Sample;source;Latitude_1 (wgs84);Longitud_1 (wgs84);BOSL1s;BOSL1s.sd;BOSL1s.se;BOSLF;BOSLF.sd;BOSLF.se;BOSLM;BOSLM.sd;BOSLM.se;BOSLS;BOSLS.sd;BOSLS.se;IRSL1.2s/BOSL1s;IRSL1.2s/BOSL1s.sd;IRSL1.2s/BOSL1s.se;TL110oC;TL110oC.sd;TL110oC.se;TL110pos;TL110pos.sd;TL110pos.se;TL325pos;TL325pos.sd;TL325pos.se
4;Serra Grande;Serra Grande;bp100;;-3.920214465;-41.24732839;12.33802969;0.758987896;0.379493948;39.25604459;1.137148401;0.568574201;32.13167725;0.920921899;0.460460949;28.61227816;1.125839696;0.562919848;23.46133883;6.140662612;3.070331306;76.52171162;0.742562578;0.371281289;96.2;0;0;325.35;0.9;0.45
12;Serra Grande;Serra Grande;bp102;;-3.918304438;-41.23145487;3.963302796;0.318142681;0.15907134;11.16004702;3.499478082;1.749739041;22.63362276;3.712427048;1.856213524;66.20633022;6.14453973;3.072269865;117.8352784;4.728083866;2.364041933;58.54678614;0.775324717;0.387662358;94.85;2.264950331;1.132475165;325.35;7.403377608;3.701688804
13;Serra Grande;Serra Grande;bp104a;;-3.90790394;-41.21270568;13.8715268;1.654404076;0.827202038;38.0082302;1.748127792;0.874063896;20.34229796;4.703366484;2.351683242;41.64947184;6.227317493;3.113658747;12.94771857;10.56867351;5.284336753;57.22968076;0.64465857;0.322329285;93.05;0.9;0.45;325.8;7.348469228;3.674234614
5;Serra Grande;Serra Grande;bp106;;-3.873737917;-41.16867546;4.295220776;0.197527552;0.098763776;16.43774758;0.730561606;0.365280803;21.34052276;1.095666104;0.547833052;62.22172966;0.463141107;0.231570554;95.57108364;10.92213711;5.461068556;35.79685355;1.94053184;0.97026592;96.65;0.9;0.45;324.9;4.284857057;2.142428529
39;Longa;Caninde;bp114;;-4.393401746;-41.6783669;6.38983649;0.329056644;0.164528322;24.16221188;12.31282548;6.156412739;25.12759975;12.61961022;6.309805111;50.71018837;19.82416604;9.912083021;11.54953989;7.923806554;3.961903277;61.79450215;3.045682799;1.5228414;97.1;1.039230485;0.519615242;334.8;4.156921938;2.078460969
75;Sambaiba;Balsas;bp120a;;-6.592197653;-47.43729208;27.17622851;5.278167245;2.639083623;58.83731327;4.908909841;2.454454921;15.43470269;0.840259409;0.420129705;25.72798404;4.422438649;2.211219325;2.751674082;1.75147955;0.875739775;70.06398313;1.147412012;0.573706006;95.75;1.723368794;0.861684397;319.05;2.7;1.35
76;Sambaiba;Balsas;bp121a;;-7.045136689;-47.44423319;15.13333588;3.011871784;1.505935892;43.01528652;8.257671229;4.128835614;16.44638219;5.251619231;2.625809616;40.5383313;5.454519363;2.727259682;7.064729834;1.528405885;0.764202943;50.05870053;1.244972456;0.622486228;95.75;1.723368794;0.861684397;324;2.545584412;1.272792206
77;Sambaiba;Balsas;bp121b;;-7.045136689;-47.44423319;14.36770866;5.012683103;2.506341551;46.031626;8.400472452;4.200236226;12.67401028;2.328277649;1.164138825;41.29436372;9.569809674;4.784904837;14.26194873;6.192358066;3.096179033;65.63009186;1.513783749;0.756891874;95.3;1.8;0.9;326.25;5.37494186;2.68747093
78;Sambaiba;Balsas;bp121c;;-7.045136689;-47.44423319;23.1135395;2.564263917;1.282131959;59.74438368;4.365570598;2.182785299;13.85093432;4.057384251;2.028692125;26.404682;1.80828672;0.90414336;9.724538133;8.363112173;4.181556087;67.32073443;1.002858414;0.501429207;96.2;1.469693846;0.734846923;329.4;2.545584412;1.272792206
79;Sambaiba;Balsas;bp121d;;-7.049321493;-47.44245484;16.97672776;4.491277234;2.245638617;52.38812429;5.73753986;2.86876993;14.13622641;1.332160898;0.666080449;33.47564929;6.499918604;3.249959302;7.94039328;6.757313672;3.378656836;65.19846073;3.392888468;1.696444234;95.3;1.039230485;0.519615242;325.35;5.94726828;2.97363414
80;Sambaiba;Balsas;bp121f;;-7.050749961;-47.44236282;31.58104828;3.293520198;1.646760099;69.27701901;5.720495719;2.860247859;11.55848629;3.959142623;1.979571312;19.1644947;2.152397827;1.076198913;4.158222677;3.11804862;1.55902431;67.92855313;1.236982997;0.618491499;93.5;1.039230485;0.519615242;314.55;5.37494186;2.68747093
81;Sambaiba;Balsas;bp121h;;-7.051025443;-47.44153196;29.26136127;0.738618645;0.369309322;60.19966415;6.272588373;3.136294187;26.51929705;5.516208688;2.758104344;13.2810388;0.772372152;0.386186076;0.804655729;0.462797644;0.231398822;65.97345277;1.512908814;0.756454407;95.3;1.039230485;0.519615242;339.3;4.284857057;2.142428529
82;Sambaiba;Balsas;bp123;;-6.816728689;-47.43565049;30.08997783;2.712894932;1.356447466;62.34265808;0.871857411;0.435928705;15.6434189;3.203709473;1.601854736;22.01392301;2.413910297;1.206955148;3.179489524;0.845671454;0.422835727;74.59792421;0.664386048;0.332193024;94.4;0;0;311.85;1.723368794;0.861684397
53;Poti;Caninde;bp131;;-7.455015332;-48.37073293;12.14231826;1.332351029;0.666175515;41.3639214;4.408647782;2.204323891;13.97150149;2.366553925;1.183276962;44.66457711;2.819429055;1.409714528;17.16863089;8.332210427;4.166105214;75.36550229;0.589859994;0.294929997;95.3;1.039230485;0.519615242;332.55;1.723368794;0.861684397
54;Poti;Caninde;bp132;;-7.886032063;-48.45662864;14.33834466;2.397352905;1.198676452;42.863342;6.22563604;3.11281802;22.28557488;4.836282128;2.418141064;34.85108312;3.16503044;1.58251522;5.957998924;3.46632517;1.733162585;74.86675269;2.82114815;1.410574075;95.3;2.323790008;1.161895004;320.85;6.794850992;3.397425496
70;Motuca;Balsas;bp133;;-8.08882486;-48.31618983;39.82751785;2.847197699;1.42359885;65.6314555;4.326636549;2.163318274;16.90644713;4.56710723;2.283553615;17.46209737;2.10130649;1.050653245;1.033047998;0.144734279;0.072367139;70.35142986;0.63456529;0.317282645;95.75;1.723368794;0.861684397;327.15;4.253234064;2.126617032
71;Motuca;Balsas;bp135;;-8.075993398;-48.19232357;9.113533429;0.86975181;0.434875905;29.46176977;4.499440047;2.249720023;20.39149718;4.575164437;2.287582219;50.14673305;2.661488735;1.330744367;10.66863639;5.063672765;2.531836383;47.68903597;2.370382484;1.185191242;94.85;0.9;0.45;321.3;3.117691454;1.558845727
55;Poti;Caninde;bp136;;-7.920664491;-48.08331377;10.5370933;1.850261376;0.925130688;32.2677914;6.996872031;3.498436015;18.60945274;0.95032837;0.475164185;49.12275586;7.306357441;3.65317872;15.71136019;17.66534169;8.832670845;57.8093589;3.976295116;1.988147558;94.85;2.7;1.35;332.55;3.07408523;1.537042615
56;Poti;Caninde;bp138;;-7.932217274;-47.8332895;5.709449745;0.794551042;0.397275521;22.1625385;5.156270153;2.578135076;25.0893157;2.555191454;1.277595727;52.74814581;4.808294383;2.404147191;73.32019521;2.907620882;1.453810441;33.21246722;0.888815446;0.444407723;95.75;1.723368794;0.861684397;329.4;2.545584412;1.272792206
63;Piaui;Balsas;bp139;;-7.947575523;-47.76778017;10.8512853;1.784297205;0.892148602;34.48752943;8.757038243;4.378519122;22.38506932;3.486595395;1.743297698;43.12740125;7.364728722;3.682364361;27.11955903;12.40502659;6.202513297;41.2626489;2.167262136;1.083631068;93.5;1.8;0.9;324.45;3.991240409;1.995620204
57;Poti;Caninde;bp140;;-7.999926483;-47.60532881;3.850762084;0.153117206;0.076558603;8.195338299;1.680082071;0.840041036;24.62211007;1.683017436;0.841508718;67.18255163;3.152280317;1.576140158;75.85810106;6.811459287;3.405729643;30.72594914;0.502499097;0.251249549;97.1;4.529900661;2.264950331;332.55;5.94726828;2.97363414
64;Piaui;Balsas;bp141;;-7.818295305;-47.42911986;18.97677189;0.457667316;0.228833658;52.14512587;1.322274163;0.661137081;16.68168386;1.467980198;0.733990099;31.17319028;0.716290464;0.358145232;4.830252354;2.47464388;1.23732194;36.73526982;1.897199277;0.948599639;94.4;1.469693846;0.734846923;331.65;3.07408523;1.537042615
72;Motuca;Balsas;bp143;;-7.04048765;-45.52596175;6.348677736;0.705149328;0.352574664;28.71258182;4.385785666;2.192892833;20.19386894;0.862532513;0.431266256;51.09354925;3.747481598;1.873740799;54.59560386;4.337197943;2.168598971;31.73574817;0.511195306;0.255597653;95.75;1.723368794;0.861684397;329.85;4.733920151;2.366960076
73;Motuca;Balsas;bp144;;-7.005024436;-45.46146989;8.698108319;1.704832914;0.852416457;37.9605112;6.157096823;3.078548412;16.34194386;2.379486217;1.189743109;45.69754493;4.044563924;2.022281962;37.59756917;4.438295373;2.219147687;32.28813633;0.601934287;0.300967144;97.1;1.039230485;0.519615242;333;2.545584412;1.272792206
68;Piaui;Balsas;bp146b;;-8.200291407;-46.04728911;19.98458814;1.77842042;0.88921021;56.71849477;2.233469066;1.116734533;15.4611777;3.058997958;1.529498979;27.82032753;1.316285867;0.658142933;7.730057585;1.845979116;0.922989558;47.51973698;1.506201256;0.753100628;93.95;2.7;1.35;326.25;3.710795063;1.855397532
65;Piaui;Balsas;bp150;;-8.454232063;-45.91136665;21.88539049;1.870947246;0.935473623;51.86998237;1.291948771;0.645974385;22.23569753;1.932896676;0.966448338;25.8943201;0.69328831;0.346644155;3.114256793;0.481814476;0.240907238;36.99733927;1.326827435;0.663413717;93.95;2.7;1.35;324.45;1.723368794;0.861684397
58;Poti;Caninde;bp154;;-9.058035518;-45.987052;13.81699089;0.784438731;0.392219365;40.53571738;3.343575002;1.671787501;18.06847647;2.84661765;1.423308825;41.39580615;1.045704636;0.522852318;8.201707577;1.826892386;0.913446193;25.83867381;0.825257567;0.412628783;94.85;1.723368794;0.861684397;328.05;3.710795063;1.855397532
69;Piaui;Balsas;bp155;;-9.140846268;-46.01748264;14.59722631;2.727915756;1.363957878;44.57004154;6.011655612;3.005827806;16.94194624;1.183450194;0.591725097;38.48801223;5.772982765;2.886491382;10.52697127;4.552866228;2.276433114;32.90154511;3.715793532;1.857896766;94.85;1.723368794;0.861684397;328.05;5.170106382;2.585053191
15;Pimenteiras;Caninde;bp165;;-8.912040215;-48.02944069;3.899870281;0.129793226;0.064896613;10.75018898;0.98281389;0.491406945;20.81270612;0.75015609;0.375078045;68.4371049;1.289757972;0.644878986;67.26225365;4.667749196;2.333874598;29.78694769;0.554936583;0.277468292;95.3;1.8;0.9;332.1;4.76235236;2.38117618
16;Pimenteiras;Caninde;bp171;;-8.844469516;-47.88513686;10.31853577;0.834582035;0.417291018;40.80802493;1.798438949;0.899219474;17.7107448;0.616847734;0.308423867;41.48123027;1.694636788;0.847318394;25.03321049;4.171068036;2.085534018;28.65650848;0.674092894;0.337046447;97.1;2.323790008;1.161895004;341.1;3.446737588;1.723368794
40;Longa;Caninde;bp172;;-8.785558853;-47.85535451;3.629092905;0.1824913;0.09124565;9.607905904;2.010864479;1.005432239;20.1916075;1.7880704;0.8940352;70.2004866;0.679342356;0.339671178;88.41146403;5.062570394;2.531285197;29.88240416;0.135566046;0.067783023;99.35;2.264950331;1.132475165;331.2;1.469693846;0.734846923
41;Longa;Caninde;bp173;;-8.790810089;-47.78019349;6.789340831;0.653031078;0.326515539;30.14429438;2.643948921;1.321974461;20.25647155;0.397370692;0.198685346;49.59923407;2.987100457;1.493550228;46.07329589;2.174010175;1.087005088;30.53323779;0.63605322;0.31802661;100.25;3.991240409;1.995620204;335.25;0.9;0.45
26;Cabecas;Caninde;bp174;;-8.843008749;-47.85531455;12.90170341;0.796916467;0.398458234;36.71268957;4.214857962;2.107428981;19.52565966;3.429435926;1.714717963;43.76165077;2.586558542;1.293279271;5.132445363;3.266150135;1.633075068;65.26681728;2.852985798;1.426492899;94.85;0.9;0.45;329.85;2.264950331;1.132475165
37;Cabecas;Caninde;bp175;;-9.03669245;-47.93918715;15.39798437;1.371490741;0.685745371;44.94947038;2.453905091;1.226952546;20.31700526;2.638159418;1.319079709;34.73352436;1.426980418;0.713490209;4.11079469;0.780078314;0.390039157;25.44661237;2.003541921;1.00177096;96.2;5.29905652;2.64952826;337.05;7.403377608;3.701688804
27;Cabecas;Caninde;bp177;;-9.024304314;-47.83034496;20.84338722;1.734533024;0.867266512;51.3642074;4.294972552;2.147486276;20.8643495;3.056981871;1.528490935;27.77144311;2.692212459;1.346106229;2.669310769;1.028412712;0.514206356;39.82279611;2.9737209;1.48686045;94.85;3.07408523;1.537042615;331.65;4.733920151;2.366960076
42;Longa;Caninde;bp179;;-9.061718423;-47.73505469;5.154079782;0.368334992;0.184167496;21.43139688;2.344388374;1.172194187;19.32396964;1.990027688;0.995013844;59.24463348;2.484326901;1.242163451;51.91680131;5.177342041;2.58867102;29.71710709;0.36978297;0.184891485;95.75;2.7;1.35;333.45;5.170106382;2.585053191
43;Longa;Caninde;bp180;;-9.063906382;-47.73244433;3.405226126;0.027341982;0.013670991;6.816485316;0.690682545;0.345341273;20.5390055;1.585701199;0.792850599;72.64450918;1.337378126;0.668689063;77.77343509;3.53402107;1.767010535;29.81171353;0.386950166;0.193475083;99.8;1.469693846;0.734846923;337.5;1.039230485;0.519615242
17;Pimenteiras;Caninde;bp181;;-9.529887521;-48.57851245;3.657504895;0.116640231;0.058320115;10.11868948;1.607441707;0.803720854;21.53070698;3.329073057;1.664536528;68.35060354;4.782690212;2.391345106;93.1656494;2.702491794;1.351245897;30.57426761;0.306222989;0.153111494;99.35;5.170106382;2.585053191;335.7;3.117691454;1.558845727
28;Cabecas;Caninde;bp182;;-9.545803819;-48.51725682;6.368454019;2.447746157;1.223873078;22.65138982;7.872832315;3.936416158;14.79103935;3.241052515;1.620526258;62.55757083;9.299019477;4.649509739;20.21288201;12.49228108;6.246140539;73.65615855;1.271324748;0.635662374;95.75;1.723368794;0.861684397;329.85;3.991240409;1.995620204
18;Pimenteiras;Caninde;bp184;;-9.445899926;-48.1624373;13.23552256;0.837669074;0.418834537;43.32794158;4.035702564;2.017851282;17.27434344;3.272616244;1.636308122;39.39771498;2.297622386;1.148811193;5.566941297;2.103915968;1.051957984;19.77587652;0.806198729;0.403099364;94.85;1.723368794;0.861684397;329.4;3.888444419;1.94422221
